epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0999,1.44651,3.65807,1.45945,0.03397,0.5486,0.10547,0.0778,0.94022,3.49598,1.15533,0.00029561,0.00029561,0.00029561
2,16.5892,1.12033,2.78969,1.28873,0.0206,0.53444,0.11838,0.08361,1.07006,3.46676,1.28602,0.000584156,0.000584156,0.000584156
3,23.022,1.12493,2.17593,1.28223,0.52313,0.21703,0.21449,0.14522,1.19988,2.79179,1.42118,0.000858069,0.000858069,0.000858069
4,29.2786,1.0619,1.93887,1.25103,0.3714,0.41371,0.34053,0.25236,1.06179,1.9725,1.27625,0.000843153,0.000843153,0.000843153
5,35.7206,1.04038,1.81584,1.24013,0.39438,0.50458,0.4216,0.30414,0.9954,1.45154,1.20168,0.000821204,0.000821204,0.000821204
6,41.986,1.00769,1.70364,1.2094,0.428,0.53005,0.43567,0.32349,1.02132,1.66899,1.21973,0.000799255,0.000799255,0.000799255
7,48.3424,0.97699,1.60732,1.19431,0.57272,0.6138,0.53114,0.4022,0.94547,1.40085,1.18828,0.000777306,0.000777306,0.000777306
8,54.5543,0.99157,1.59628,1.21051,0.54465,0.54381,0.50584,0.38243,0.98292,1.51715,1.20667,0.000755357,0.000755357,0.000755357
9,60.7553,0.97632,1.5488,1.20318,0.57919,0.63116,0.56917,0.43402,0.9124,1.17046,1.13631,0.000733408,0.000733408,0.000733408
10,67.0172,0.9897,1.52957,1.201,0.61011,0.68466,0.59853,0.45258,0.90989,1.17533,1.14615,0.000711459,0.000711459,0.000711459
11,73.3721,0.95926,1.48063,1.18007,0.67029,0.6561,0.61574,0.46518,0.91877,1.15949,1.14674,0.00068951,0.00068951,0.00068951
12,79.7016,0.95666,1.43367,1.17625,0.68196,0.6379,0.60623,0.46119,0.88837,1.14834,1.13819,0.000667561,0.000667561,0.000667561
13,85.8983,0.93826,1.40794,1.16681,0.56599,0.53981,0.52427,0.39042,0.92361,1.40667,1.1682,0.000645612,0.000645612,0.000645612
14,92.1029,0.9069,1.34753,1.14545,0.68334,0.6973,0.64035,0.48598,0.87652,1.03882,1.13262,0.000623663,0.000623663,0.000623663
15,98.3793,0.93824,1.37822,1.17044,0.67231,0.6591,0.6192,0.46856,0.86778,1.09977,1.12206,0.000601714,0.000601714,0.000601714
16,104.599,0.90064,1.29653,1.14544,0.70871,0.69593,0.64862,0.49734,0.88374,1.06938,1.12757,0.000579765,0.000579765,0.000579765
17,110.847,0.8789,1.2758,1.13187,0.69848,0.65241,0.64197,0.48559,0.87211,1.03019,1.11495,0.000557816,0.000557816,0.000557816
18,117.123,0.91882,1.33327,1.1595,0.66982,0.69916,0.65569,0.49374,0.87594,1.02706,1.11383,0.000535867,0.000535867,0.000535867
19,123.325,0.92255,1.27913,1.15344,0.70623,0.72031,0.6634,0.49812,0.86565,0.97964,1.1161,0.000513918,0.000513918,0.000513918
20,129.767,0.8938,1.26374,1.14331,0.67316,0.71405,0.66075,0.51092,0.85739,1.00163,1.10454,0.000491969,0.000491969,0.000491969
21,135.964,0.89796,1.2455,1.13777,0.71603,0.70567,0.67261,0.51853,0.87775,1.0727,1.12119,0.00047002,0.00047002,0.00047002
22,142.201,0.89289,1.27213,1.15174,0.73527,0.68862,0.67282,0.52056,0.84059,0.96446,1.10151,0.00044807,0.00044807,0.00044807
23,148.443,0.89214,1.25918,1.14443,0.70034,0.73832,0.6826,0.52713,0.85044,0.99369,1.11135,0.000426121,0.000426121,0.000426121
24,154.57,0.87704,1.21577,1.13173,0.72491,0.70318,0.6743,0.52281,0.84552,0.96142,1.10338,0.000404172,0.000404172,0.000404172
25,160.841,0.87268,1.20918,1.12439,0.68349,0.71469,0.66853,0.51766,0.84686,0.97537,1.09145,0.000382223,0.000382223,0.000382223
26,167.013,0.86824,1.19844,1.12659,0.70654,0.71913,0.67403,0.5148,0.86757,0.99127,1.10533,0.000360274,0.000360274,0.000360274
27,173.208,0.85893,1.1531,1.10956,0.72341,0.72203,0.66594,0.51608,0.8329,0.9384,1.09005,0.000338325,0.000338325,0.000338325
28,179.415,0.86043,1.20057,1.12345,0.69453,0.74378,0.659,0.50763,0.84845,0.95546,1.09802,0.000316376,0.000316376,0.000316376
29,185.665,0.85922,1.19687,1.12117,0.72254,0.7456,0.67351,0.51997,0.84329,0.95518,1.09368,0.000294427,0.000294427,0.000294427
30,191.871,0.84505,1.16112,1.10967,0.73692,0.74761,0.67784,0.52693,0.84123,0.93908,1.09557,0.000272478,0.000272478,0.000272478
31,198.195,0.84886,1.1377,1.11884,0.75668,0.75577,0.69236,0.53735,0.8361,0.90961,1.09054,0.000250529,0.000250529,0.000250529
32,223.917,0.83257,1.10919,1.12557,0.70772,0.76096,0.67414,0.5229,0.8386,0.97911,1.09603,0.00022858,0.00022858,0.00022858
33,230.083,0.82204,1.0414,1.10421,0.74192,0.73828,0.6882,0.53184,0.84702,0.95941,1.09424,0.000206631,0.000206631,0.000206631
34,236.201,0.81029,1.02404,1.09945,0.70068,0.7571,0.68174,0.53067,0.83489,0.91676,1.0878,0.000184682,0.000184682,0.000184682
35,242.293,0.80785,1.00573,1.09755,0.70814,0.77043,0.68407,0.53582,0.82942,0.90524,1.08451,0.000162733,0.000162733,0.000162733
36,248.293,0.80367,1.00394,1.09279,0.70788,0.74477,0.67477,0.53085,0.83085,0.91689,1.08329,0.000140784,0.000140784,0.000140784
37,254.321,0.78972,0.96942,1.09144,0.73445,0.72814,0.67735,0.53475,0.82852,0.9106,1.08306,0.000118835,0.000118835,0.000118835
38,260.399,0.78515,0.96319,1.08086,0.72769,0.7473,0.69027,0.54373,0.82007,0.89885,1.08068,9.68861e-05,9.68861e-05,9.68861e-05
39,266.549,0.7881,0.96146,1.08508,0.70261,0.76818,0.68645,0.5362,0.82189,0.90236,1.0802,7.49371e-05,7.49371e-05,7.49371e-05
40,272.667,0.78293,0.95575,1.08391,0.73647,0.73966,0.68557,0.53583,0.81923,0.91322,1.08125,5.2988e-05,5.2988e-05,5.2988e-05
41,278.738,0.76971,0.93863,1.07524,0.74134,0.73916,0.6855,0.53698,0.82081,0.91505,1.08249,3.1039e-05,3.1039e-05,3.1039e-05
